,user,text,favorite_count,retweet_count,created_at
51,elonmusk,"@MarcusHouse Anecdotally, it wasn’t as loud as expected",4852,205,2023-02-12 06:56:30+00:00
52,elonmusk,"@cb_doge Yes. Advertising also needs to be semantic keyword-based, so it’s contextually relevant. Amazingly, ads shown when doing twitter searches don’t consider the search words! We’re changing that as fast as possible.",2527,211,2023-02-12 06:52:15+00:00
53,elonmusk,[Oversized font &amp; undersized paragraph spacing will be fixed this week],36309,2174,2023-02-12 06:46:55+00:00
54,elonmusk,"Long day at Twitter HQ with eng team

Two significant problems mostly addressed:

1. Fanout service for Following feed was getting overloaded when I tweeted, resulting in up to 95% of my tweets not getting delivered at all. Following is now pulling from search (aka Earlybird).… https://t.co/oMW54chhRz",117119,9571,2023-02-12 06:45:14+00:00
55,elonmusk,@BuckSexton Well-said,9493,522,2023-02-12 06:13:12+00:00
56,elonmusk,@ClownWorld_ True,29743,1185,2023-02-12 06:11:48+00:00
57,elonmusk,@stats_feed Certainly feels that way,8311,317,2023-02-12 05:04:24+00:00
58,elonmusk,Starship Super Heavy https://t.co/DgufvqgWCC,153148,9297,2023-02-12 04:29:17+00:00
59,elonmusk,@alx @zerohedge 🤨,35119,1681,2023-02-12 02:45:36+00:00
60,elonmusk,@JaxMicrowave @tuxlemons @EndWokeness 🤣,2004,109,2023-02-12 02:39:04+00:00
61,elonmusk,@BenFrankzyn @joerogan @SpaceForceDoD 🤣,10947,415,2023-02-12 01:38:11+00:00
62,elonmusk,@disclosetv Extremely concerning,125501,7303,2023-02-12 00:21:15+00:00
63,elonmusk,"@MuskUniversity This is the fundamental reason why Tesla was the first new American car company to reach sustained positive cash flow since Chrysler ~100 years ago.

The product has to be compelling enough to overcome a fundamental cost disadvantage.",15127,934,2023-02-11 23:21:33+00:00
64,elonmusk,@WholeMarsBlog Exactly,6495,355,2023-02-11 22:21:08+00:00
65,elonmusk,@teslaownersSV Great Tesla Solar Roof install!,15341,676,2023-02-11 22:19:45+00:00
66,elonmusk,"@RuaneFootball Periscope does partly live on with Spaces, but no question that we need to bring back an even better version of vine",15710,808,2023-02-11 21:11:01+00:00
67,elonmusk,@EvaFoxU Absolutely!!,16234,647,2023-02-11 20:04:48+00:00
68,elonmusk,@MuskUniversity Consciousness should be thought of as a tiny candle in a vast darkness that could easily go out. We should do anything possible to keep that flame alive.,52250,4888,2023-02-11 19:59:52+00:00
69,elonmusk,Some of the smartest people I know actively believe the press … amazing,470364,51474,2023-02-11 16:00:43+00:00
70,elonmusk,@JDHaltigan WaPo needs a thorough housecleaning,51074,4450,2023-02-11 14:28:12+00:00
71,elonmusk,@LucentEnergy @teslasolarroof Beautiful work!,8665,400,2023-02-11 14:27:09+00:00
72,elonmusk,@esherifftv 😂,6004,230,2023-02-11 14:26:25+00:00
73,elonmusk,This test is at ~50% throttle. Launch attempt next month will be at ~90%. https://t.co/oMrnBIiBjY,69568,5657,2023-02-11 14:19:33+00:00
74,elonmusk,"@cb_doge Yeah, those are great features",6223,346,2023-02-11 13:36:42+00:00
75,elonmusk,@jgebbia 🇯🇵🇯🇵 Great decision by Japan! 🇯🇵🇯🇵,34457,1987,2023-02-10 21:41:02+00:00
76,elonmusk,@Doritos Try out the Doritos pyramid scheme :),13908,710,2023-02-10 21:39:58+00:00
77,elonmusk,@cb_doge @Twitter @mayemusk @Tesla @SpaceX Top change requests and features?,62033,3092,2023-02-10 20:59:41+00:00
